Date,Day,Tag,Country,Value
2014-10-08,200,Deaths,SierraLeone,930
2014-10-08,200,Deaths,Spain,1
2014-10-08,200,Deaths,UnitedStates,1
2014-11-10,233,Cases,Guinea,0
2014-11-10,233,Cases,Liberia,6878
2014-11-10,233,Cases,Mali,0
2014-11-10,233,Cases,Nigeria,0
2014-11-10,233,Cases,Senegal,0
2014-11-10,233,Cases,SierraLeone,0
2014-11-10,233,Cases,Spain,0
2014-11-10,233,Cases,UnitedStates,0
2014-11-10,233,Deaths,Guinea,0
2014-11-10,233,Deaths,Liberia,2812
2014-11-10,233,Deaths,Mali,0
2014-11-10,233,Deaths,Nigeria,0
2014-11-10,233,Deaths,Senegal,0
2014-11-10,233,Deaths,SierraLeone,0
2014-11-10,233,Deaths,Spain,0
2014-11-10,233,Deaths,UnitedStates,0
2014-11-11,234,Cases,Guinea,1919
2014-11-11,234,Cases,Liberia,0
2014-11-11,234,Cases,Mali,4
2014-11-11,234,Cases,Nigeria,20
2014-11-11,234,Cases,Senegal,1
2014-11-11,234,Cases,SierraLeone,5586
2014-11-11,234,Cases,Spain,1
2014-11-11,234,Cases,UnitedStates,4
2014-11-11,234,Deaths,Guinea,1166
2014-11-11,234,Deaths,Liberia,0
2014-11-11,234,Deaths,Mali,3
2014-11-11,234,Deaths,Nigeria,8
2014-11-11,234,Deaths,Senegal,0
2014-11-11,234,Deaths,SierraLeone,1187
2014-11-11,234,Deaths,Spain,0
2014-11-11,234,Deaths,UnitedStates,1
2014-11-15,238,Cases,Guinea,0
2014-11-15,238,Cases,Liberia,7069
2014-11-15,238,Cases,Mali,0
2014-11-15,238,Cases,Nigeria,0
2014-11-15,238,Cases,Senegal,0
2014-11-15,238,Cases,SierraLeone,0
2014-11-15,238,Cases,Spain,0
2014-11-15,238,Cases,UnitedStates,0
2014-11-15,238,Deaths,Guinea,0
2014-11-15,238,Deaths,Liberia,2964
2014-11-15,238,Deaths,Mali,0
2014-11-15,238,Deaths,Nigeria,0
2014-11-15,238,Deaths,Senegal,0
2014-11-15,238,Deaths,SierraLeone,0
2014-11-15,238,Deaths,Spain,0
2014-11-15,238,Deaths,UnitedStates,0
2014-11-16,239,Cases,Guinea,1971
2014-11-16,239,Cases,Liberia,0
2014-11-16,239,Cases,Mali,5
2014-11-16,239,Cases,Nigeria,20
2014-11-16,239,Cases,Senegal,1
2014-11-16,239,Cases,SierraLeone,6073
2014-11-16,239,Cases,Spain,1
2014-11-16,239,Cases,UnitedStates,4
2014-11-16,239,Deaths,Guinea,1192
2014-11-16,239,Deaths,Liberia,0
2014-11-16,239,Deaths,Mali,5
2014-11-16,239,Deaths,Nigeria,8
2014-11-16,239,Deaths,Senegal,0
2014-11-16,239,Deaths,SierraLeone,1250
2014-11-16,239,Deaths,Spain,0
2014-11-16,239,Deaths,UnitedStates,1
2014-11-18,241,Cases,Guinea,2047
2014-11-18,241,Cases,Liberia,7082
2014-11-18,241,Cases,Mali,6
2014-11-18,241,Cases,Nigeria,20
2014-11-18,241,Cases,Senegal,1
2014-11-18,241,Cases,SierraLeone,6190
2014-11-18,241,Cases,Spain,1
2014-11-18,241,Cases,UnitedStates,4
2014-11-18,241,Deaths,Guinea,1214
2014-11-18,241,Deaths,Liberia,2963
2014-11-18,241,Deaths,Mali,6
2014-11-18,241,Deaths,Nigeria,8
2014-11-18,241,Deaths,Senegal,0
2014-11-18,241,Deaths,SierraLeone,1267
2014-11-18,241,Deaths,Spain,0
2014-11-18,241,Deaths,UnitedStates,1
2014-11-02,225,Cases,Guinea,1731
2014-11-02,225,Cases,Liberia,0
2014-11-02,225,Cases,Mali,1
2014-11-02,225,Cases,Nigeria,20
2014-11-02,225,Cases,Senegal,1
2014-11-02,225,Cases,SierraLeone,4759
2014-11-02,225,Cases,Spain,1
2014-11-02,225,Cases,UnitedStates,4
2014-11-02,225,Deaths,Guinea,1041
2014-11-02,225,Deaths,Liberia,0
2014-11-02,225,Deaths,Mali,1
2014-11-02,225,Deaths,Nigeria,8
2014-11-02,225,Deaths,Senegal,0
2014-11-02,225,Deaths,SierraLeone,1070
2014-11-02,225,Deaths,Spain,0
2014-11-02,225,Deaths,UnitedStates,1
2014-11-22,245,Cases,Guinea,0
2014-11-22,245,Cases,Liberia,7168
2014-11-22,245,Cases,Mali,0
2014-11-22,245,Cases,Nigeria,0
2014-11-22,245,Cases,Senegal,0
2014-11-22,245,Cases,SierraLeone,0
2014-11-22,245,Cases,Spain,0
2014-11-22,245,Cases,UnitedStates,0
2014-11-22,245,Deaths,Guinea,0
2014-11-22,245,Deaths,Liberia,3016
2014-11-22,245,Deaths,Mali,0
2014-11-22,245,Deaths,Nigeria,0
2014-11-22,245,Deaths,Senegal,0
2014-11-22,245,Deaths,SierraLeone,0
2014-11-22,245,Deaths,Spain,0
2014-11-22,245,Deaths,UnitedStates,0
2014-11-23,246,Cases,Guinea,2134
2014-11-23,246,Cases,Liberia,0
2014-11-23,246,Cases,Mali,7
2014-11-23,246,Cases,Nigeria,20
2014-11-23,246,Cases,Senegal,1
2014-11-23,246,Cases,SierraLeone,6599
2014-11-23,246,Cases,Spain,1
2014-11-23,246,Cases,UnitedStates,4
2014-11-23,246,Deaths,Guinea,1260
2014-11-23,246,Deaths,Liberia,0
2014-11-23,246,Deaths,Mali,6
2014-11-23,246,Deaths,Nigeria,8
2014-11-23,246,Deaths,Senegal,0
2014-11-23,246,Deaths,SierraLeone,1398
2014-11-23,246,Deaths,Spain,0
2014-11-23,246,Deaths,UnitedStates,1
2014-11-28,251,Cases,Guinea,0
2014-11-28,251,Cases,Liberia,7635
2014-11-28,251,Cases,Mali,0
2014-11-28,251,Cases,Nigeria,0
2014-11-28,251,Cases,Senegal,0
2014-11-28,251,Cases,SierraLeone,0
2014-11-28,251,Cases,Spain,0
2014-11-28,251,Cases,UnitedStates,0
2014-11-28,251,Deaths,Guinea,0
2014-11-28,251,Deaths,Liberia,3145
2014-11-28,251,Deaths,Mali,0
2014-11-28,251,Deaths,Nigeria,0
2014-11-28,251,Deaths,Senegal,0
2014-11-28,251,Deaths,SierraLeone,0
2014-11-28,251,Deaths,Spain,0
2014-11-28,251,Deaths,UnitedStates,0
2014-11-03,226,Cases,Guinea,1760
2014-11-03,226,Cases,Liberia,0
2014-11-03,226,Cases,Mali,0
2014-11-03,226,Cases,Nigeria,0
2014-11-03,226,Cases,Senegal,0
